Fulltime_score_home_predicted,Fulltime_score_away_predicted,Halftime_score_home_predicted,Halftime_score_away_predicted,Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
,,,,Ulster,Connacht,2026-03-20 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Edinburgh,2026-03-21 14:45:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Munster,2026-03-21 17:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Benetton,Ospreys,2026-03-21 17:00:00,Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Leinster,2026-03-21 19:30:00,Scotstoun Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Stormers,Dragons RFC,2026-03-21 19:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Sharks,Cardiff,2026-03-27 19:00:00,Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
,,,,Glasgow Warriors,Benetton,2026-03-27 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Bulls,Munster,2026-03-28 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Connacht,Ospreys,2026-03-28 16:15:00,Dexcom Stadium,,,,,,,,,,early_afternoon,False,True
,,,,Lions,Dragons RFC,2026-03-28 16:30:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Edinburgh,2026-03-28 19:00:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Leinster,Scarlets,2026-03-28 19:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Zebre,Ulster,2026-03-28 21:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Edinburgh,Zebre,2026-04-17 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Ulster,Leinster,2026-04-17 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Bulls,2026-04-17 20:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Lions,Glasgow Warriors,2026-04-18 15:45:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Connacht,2026-04-18 18:15:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Scarlets,Cardiff,2026-04-18 18:30:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Benetton,Munster,2026-04-18 20:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Ospreys,Sharks,2026-04-18 20:45:00,Brewery Field,,,,,,,,,,evening,False,False
