Fulltime_score_home_predicted,Fulltime_score_away_predicted,Halftime_score_home_predicted,Halftime_score_away_predicted,Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away,wx_temp_c,wx_precip_mm,wx_wind_kph,wx_weathercode,wx_summary,time_bucket,is_in_south_africa,is_main_home_stadium
,,,,Sharks,Lions,2026-01-03 15:30:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Bulls,2026-01-03 18:00:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Benetton,Edinburgh,2026-01-03 19:30:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Leinster,Connacht,2026-01-03 19:30:00,Aviva Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Zebre,2026-01-03 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Ospreys,Lions,2026-01-23 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Edinburgh,Bulls,2026-01-23 21:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Munster,Dragons RFC,2026-01-23 21:45:00,Virgin Media Park,,,,,,,,,,evening,False,False
,,,,Scarlets,Ulster,2026-01-24 17:00:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Connacht,Leinster,2026-01-24 19:30:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Stormers,Sharks,2026-01-24 19:30:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Zebre,Glasgow Warriors,2026-01-24 21:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Cardiff,Benetton,2026-01-24 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Benetton,Scarlets,2026-01-30 21:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Glasgow Warriors,Munster,2026-01-30 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Bulls,2026-01-31 14:30:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Stormers,2026-01-31 17:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Zebre,Connacht,2026-01-31 17:00:00,Stadio Sergio Lanfranchi,,,,,,,,,,late_afternoon,False,True
,,,,Leinster,Edinburgh,2026-01-31 19:30:00,Aviva Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Dragons RFC,2026-01-31 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Ulster,Cardiff,2026-01-31 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Sharks,2026-02-21 14:00:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Edinburgh,Scarlets,2026-02-27 21:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Cardiff,Leinster,2026-02-27 21:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Lions,Stormers,2026-02-28 14:30:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Sharks,2026-02-28 17:00:00,Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
,,,,Connacht,Glasgow Warriors,2026-02-28 17:00:00,Dexcom Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Zebre,2026-02-28 19:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Dragons RFC,Benetton,2026-02-28 19:30:00,Rodney Parade,,,,,,,,,,late_afternoon,False,True
,,,,Ospreys,Ulster,2026-02-28 21:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Bulls,Stormers,2026-03-14 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Cardiff,2026-03-20 19:00:00,Loftus Versfeld,,,,,,,,,,evening,True,True
,,,,Scarlets,Zebre,2026-03-20 21:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
,,,,Ulster,Connacht,2026-03-20 21:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Lions,Edinburgh,2026-03-21 14:45:00,Ellis Park,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Munster,2026-03-21 17:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Benetton,Ospreys,2026-03-21 17:00:00,Stadio Comunale di Monigo,,,,,,,,,,late_afternoon,False,True
,,,,Glasgow Warriors,Leinster,2026-03-21 19:30:00,Scotstoun Stadium,,,,,,,,,,late_afternoon,False,True
,,,,Stormers,Dragons RFC,2026-03-21 19:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Sharks,Cardiff,2026-03-27 19:00:00,Hollywoodbets Kings Park,,,,,,,,,,evening,True,True
,,,,Glasgow Warriors,Benetton,2026-03-27 21:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Bulls,Munster,2026-03-28 14:00:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Connacht,Ospreys,2026-03-28 16:15:00,Dexcom Stadium,,,,,,,,,,early_afternoon,False,True
,,,,Lions,Dragons RFC,2026-03-28 16:30:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Edinburgh,2026-03-28 19:00:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Leinster,Scarlets,2026-03-28 19:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Zebre,Ulster,2026-03-28 21:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Edinburgh,Zebre,2026-04-17 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Ulster,Leinster,2026-04-17 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Dragons RFC,Bulls,2026-04-17 20:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Lions,Glasgow Warriors,2026-04-18 15:45:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Connacht,2026-04-18 18:15:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Scarlets,Cardiff,2026-04-18 18:30:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Benetton,Munster,2026-04-18 20:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Ospreys,Sharks,2026-04-18 20:45:00,Brewery Field,,,,,,,,,,evening,False,False
,,,,Edinburgh,Sharks,2026-04-24 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Zebre,Dragons RFC,2026-04-24 20:45:00,Stadio Sergio Lanfranchi,,,,,,,,,,evening,False,True
,,,,Cardiff,Ospreys,2026-04-24 20:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Lions,Connacht,2026-04-25 16:00:00,Ellis Park,,,,,,,,,,late_afternoon,True,True
,,,,Stormers,Glasgow Warriors,2026-04-25 18:30:00,DHL Stadium,,,,,,,,,,evening,True,True
,,,,Munster,Ulster,2026-04-25 18:30:00,Thomond Park,,,,,,,,,,late_afternoon,False,True
,,,,Scarlets,Bulls,2026-04-25 20:45:00,Parc y Scarlets,,,,,,,,,,evening,False,True
,,,,Benetton,Leinster,2026-04-25 20:45:00,Stadio Comunale di Monigo,,,,,,,,,,evening,False,True
,,,,Glasgow Warriors,Cardiff,2026-05-08 20:45:00,Scotstoun Stadium,,,,,,,,,,evening,False,True
,,,,Ulster,Stormers,2026-05-08 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Bulls,Zebre,2026-05-09 13:45:00,Loftus Versfeld,,,,,,,,,,early_afternoon,True,True
,,,,Sharks,Benetton,2026-05-09 16:00:00,Hollywoodbets Kings Park,,,,,,,,,,late_afternoon,True,True
,,,,Ospreys,Scarlets,2026-05-09 18:30:00,Brewery Field,,,,,,,,,,late_afternoon,False,False
,,,,Leinster,Lions,2026-05-09 18:30:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Dragons RFC,Edinburgh,2026-05-09 20:45:00,Rodney Parade,,,,,,,,,,evening,False,True
,,,,Connacht,Munster,2026-05-09 20:45:00,Dexcom Stadium,,,,,,,,,,evening,False,True
,,,,Cardiff,Stormers,2026-05-15 20:45:00,Cardiff Arms Park,,,,,,,,,,evening,False,True
,,,,Ulster,Glasgow Warriors,2026-05-15 20:45:00,Affidea Stadium,,,,,,,,,,evening,False,True
,,,,Edinburgh,Connacht,2026-05-15 20:45:00,Hive Stadium,,,,,,,,,,evening,False,True
,,,,Sharks,Zebre,2026-05-16 13:45:00,Hollywoodbets Kings Park,,,,,,,,,,early_afternoon,True,True
,,,,Bulls,Benetton,2026-05-16 16:00:00,Loftus Versfeld,,,,,,,,,,late_afternoon,True,True
,,,,Leinster,Ospreys,2026-05-16 18:15:00,TBC,,,,,,,,,,late_afternoon,False,False
,,,,Scarlets,Dragons RFC,2026-05-16 18:15:00,Parc y Scarlets,,,,,,,,,,late_afternoon,False,True
,,,,Munster,Lions,2026-05-16 20:45:00,Thomond Park,,,,,,,,,,evening,False,True
