Home_team,Away_team,Date_time,Venue,Fulltime_score_home,Fulltime_score_away,Halftime_score_home,Halftime_score_away
Ulster,Leinster,"Fri 17th April 2026, 08:45pm SAST",Affidea Stadium,,,,
Dragons RFC,Bulls,"Fri 17th April 2026, 08:45pm SAST",Rodney Parade,,,,
Lions,Glasgow Warriors,"Sat 18th April 2026, 03:45pm SAST",Ellis Park,,,,
Stormers,Connacht,"Sat 18th April 2026, 06:15pm SAST",DHL Stadium,,,,
Scarlets,Cardiff,"Sat 18th April 2026, 06:30pm SAST",Parc y Scarlets,,,,
Benetton,Munster,"Sat 18th April 2026, 08:45pm SAST",Stadio Comunale di Monigo,,,,
Ospreys,Sharks,"Sat 18th April 2026, 08:45pm SAST",Brewery Field,,,,
Edinburgh,Sharks,"Fri 24th April 2026, 08:45pm SAST",Hive Stadium,,,,
Zebre,Dragons RFC,"Fri 24th April 2026, 08:45pm SAST",Stadio Sergio Lanfranchi,,,,
Cardiff,Ospreys,"Fri 24th April 2026, 08:45pm SAST",Cardiff Arms Park,,,,
Lions,Connacht,"Sat 25th April 2026, 04:00pm SAST",Ellis Park,,,,
Stormers,Glasgow Warriors,"Sat 25th April 2026, 06:30pm SAST",DHL Stadium,,,,
Munster,Ulster,"Sat 25th April 2026, 06:30pm SAST",Thomond Park,,,,
Scarlets,Bulls,"Sat 25th April 2026, 08:45pm SAST",Parc y Scarlets,,,,
Benetton,Leinster,"Sat 25th April 2026, 08:45pm SAST",Stadio Comunale di Monigo,,,,
Glasgow Warriors,Cardiff,"Fri 8th May 2026, 08:45pm SAST",Scotstoun Stadium,,,,
Ulster,Stormers,"Fri 8th May 2026, 08:45pm SAST",Affidea Stadium,,,,
Bulls,Zebre,"Sat 9th May 2026, 01:45pm SAST",Loftus Versfeld,,,,
Sharks,Benetton,"Sat 9th May 2026, 04:00pm SAST",Hollywoodbets Kings Park,,,,
Ospreys,Scarlets,"Sat 9th May 2026, 06:30pm SAST",Brewery Field,,,,
Leinster,Lions,"Sat 9th May 2026, 06:30pm SAST",TBC,,,,
Dragons RFC,Edinburgh,"Sat 9th May 2026, 08:45pm SAST",Rodney Parade,,,,
Connacht,Munster,"Sat 9th May 2026, 08:45pm SAST",Dexcom Stadium,,,,
Cardiff,Stormers,"Fri 15th May 2026, 08:45pm SAST",Cardiff Arms Park,,,,
Ulster,Glasgow Warriors,"Fri 15th May 2026, 08:45pm SAST",Affidea Stadium,,,,
Edinburgh,Connacht,"Fri 15th May 2026, 08:45pm SAST",Hive Stadium,,,,
Sharks,Zebre,"Sat 16th May 2026, 01:45pm SAST",Hollywoodbets Kings Park,,,,
Bulls,Benetton,"Sat 16th May 2026, 04:00pm SAST",Loftus Versfeld,,,,
Leinster,Ospreys,"Sat 16th May 2026, 06:15pm SAST",TBC,,,,
Scarlets,Dragons RFC,"Sat 16th May 2026, 06:15pm SAST",Parc y Scarlets,,,,
Munster,Lions,"Sat 16th May 2026, 08:45pm SAST",Thomond Park,,,,
